Aaron Hill,2504
Rich Hill,2505
Shea Hillenbrand,2506
Eric Hinske,2508
Jason Hirsh,2809
Trevor Hoffman,2613
Matt Holliday,2615
Norris Hopper,2963
Ryan Howard,2487
J.P. Howell,2454
Bob Howry,2455
Jon Huber,2939
Tim Hudson,2469
Luke Hudson,2927
Orlando Hudson,2468
Great Hudson,3830
Aubrey Huff,2471
Torii Hunter,2488
Chris Iannetta,2833
Raul Ibanez,2076
Kei Igawa,2787
Tadahito Iguchi,2072
Omar Infante,2079
Brandon Inge,2078
Joe Inglett,2835
Jason Isringhausen,2075
Akinori Iwamura,2834
Cesar Izturis,2074
Maicer Izturis,2073
Edwin Jackson,2304
Conor Jackson,2303
Mike Jacobs,2290
Chuck James,2291
Casey Janssen,2887
Geoff Jenkins,2295
Bobby Jenks,2296
Jason Jennings,2292
Derek Jeter,2285
Cesar Jimenez,2938
Kenji Johjima,2786
Randy Johnson,2322
Great Johnson,3818
Nick Johnson,2320
Reed Johnson,2317
Kelly Johnson,2318
Dan Johnson,2316
Tyler Johnson,2319
Ben Johnson,2321
Josh Johnson,2801
Jim Johnson,2889
Andruw Jones,2311
Chipper Jones,2312
Todd Jones,2313
Jacque Jones,2314
Greg Jones,2310
Garrett Jones,2315
Jorge Julio,2544
Jeff Karstens,2847
Matt Kata,2228
Scott Kazmir,2158
Austin Kearns,2150
Don Kelly,2798
Matt Kemp,2870
Jason Kendall,2238
Howie Kendrick,2869
Great Kennedy,3828
Adam Kennedy,2232
Joe Kennedy,2233
Logan Kensing,2236
Jeff Kent,2237
Jeff Keppinger,2231
Bobby Kielty,2188
Byung–Hyun Kim,2829
Ray King,2189
Josh Kinney,2855
Ian Kinsler,2797
Ryan Klesko,2220
Steve Kline,2203
Paul Konerko,2251
John Koronka,2263
Corey Koskie,2245
Casey Kotchman,2248
Mark Kotsay,2250
Kevin Kouzmanoff,2860
Jason Kubel,2194
Hong–Chih Kuo,2195
Masumi Kuwata,2868
John Lackey,2701
Gerald Laird,2733
Mike Lamb,2707
Jason Lane,2738
Ryan Langerhans,2710
Adam LaRoche,2709
Andy LaRoche,2992
Jason LaRue,2708
Brian Lawrence,2755
Brandon League,2714
Ricky Ledee,2740
Wilfredo Ledezma,2741
Derrek Lee,2712
Carlos Lee,2711
Cliff Lee,2713
Anthony Lerew,2744
Jon Lester,3003
Fred Lewis,2729
Brad Lidge,2721
Jon Lieber,2717
Mike Lieberthal,2718
Ted Lilly,2725
Adam Lind,2998
Todd Linden,2728
Matt Lindstrom,2999
Scott Linebrink,2698
Francisco Liriano,2724
Wes Littleton,2994
Bobby Livingston,2995
Paul Lo Duca,2761
Esteban Loaiza,2746
Kameron Loe,2749
Adam Loewen,3005
Kenny Lofton,2770
Nook Logan,2751
Boone Logan,3006
Kyle Lohse,2752
Braden Looper,2732
Rodrigo Lopez,2773
Felipe Lopez,2774
Javier Lopez,2822
Jose Lopez,2772
Mark Loretta,2777
Derek Lowe,2748
Mark Lowe,3004
Mike Lowell,2750
Noah Lowry,2747
Julio Lugo,2731
Ruddy Lugo,3000
Brandon Lyon,2694
John Mabry,2666
Mike MacDougal,2630
Alejandro Machado,2641
Rob Mackowiak,2636
Greg Maddux,2640
Ryan Madson,2646
Paul Maholm,2647
John Maine,2665
Gary Majewski,2638
Shaun Marcum,2621
Nick Markakis,2819
Carlos Marmol,2977
Mike Maroth,2654
Jason Marquis,2622
Sean Marshall,2817
Jay Marshall,2967
Damaso Marte,2650
Andy Marte,2649
Russell Martin,2968
Pedro Martinez,2652
Ramon Martinez,2653
Victor Martinez,2651
Carlos Martinez,2976
Nick Masset,2972
Tom Mastny,2974
Julio Mateo,2645
Juan Mateo,2975
Scott Mathieson,2973
Hideki Matsui,2643
Kazuo Matsui,2642
Daisuke Matsuzaka,2788
Gary Matthews Jr.,2639
Joe Mauer,2675
Paul McAnulty,2628
Marcus McBeth,2970
Macay McBride,2633
Brian McCann,2629
Brandon McCarthy,2644
John McDonald,2631
Dustin McGowan,2637
Marty McLeary,2971
Mark McLemore,2635
Nate McLouth,2634
Dallas McPherson,2632
Gil Meche,2669
Brandon Medders,2668
Adam Melhuse,2671
Kevin Mench,2673
Cla Meredith,2672
Jose Mesa,2667
Randy Messenger,2670
Jason Michaels,2624
Doug Mientkiewicz,2663
Aaron Miles,2627
Lastings Milledge,2979
Great Miller,3825
Trever Miller,2657
Wade Miller,2659
Matt Miller,2658
Andrew Miller,2978
Kevin Millwood,2661
Eric Milton,2662
Zach Miner,2969
Doug Mirabelli,2660
Sergio Mitre,2656
Brian Moehler,2679
Chad Moeller,2678
Bengie Molina,2682
Jose Molina,2683
Yadier Molina,2684
Gustavo Molina,2985
Craig Monroe,2687
Miguel Montero,2820
Melvin Mora,2677
Kendry Morales,2681
Justin Morneau,2686
Matt Morris,2685
Brandon Morrow,2986
Dustin Moseley,2984
Guillermo Mota,2680
Jamie Moyer,2674
Peter Moylan,2983
Edward Mujica,2981
Mark Mulder,2648
Scott Munter,2655
Tommy Murphy,2818
Donnie Murphy,2623
A.J. Murray,2982
Matt Murton,2676
Neal Musser,2980
Mike Mussina,2664
Mike Myers,2626
Brett Myers,2625
Xavier Nady,2433
Mike Napoli,2806
Joe Nathan,2432
Dioner Navarro,2424
Joe Nelson,2918
Pat Neshek,2807
David Newhan,2430
Lance Niekro,2425
Wil Nieves,2426
Dustin Nippert,2429
Laynce Nix,2428
Trot Nixon,2427
Ricky Nolasco,2920
Greg Norton,2919
Leo Nunez,2431
Michael O'Connor,2845
Tomo Ohka,2132
Will Ohman,2137
Hideki Okajima,2844
Darren Oliver,2846
Miguel Olivo,2140
Scott Olsen,2142
Magglio Ordonez,2146
Pete Orr,2131
David Ortiz,2144
Russ Ortiz,2143
Ramon Ortiz,2145
Dan Ortmeier,2135
Chad Orvella,2147
Roy Oswalt,2139
Akinori Otsuka,2134
Lyle Overbay,2136
Jerry Owens,2796
Henry Owens,2843
Micah Owings,2842
Pablo Ozuna,2138
Vicente Padilla,2466
Juan Padilla,2465
Angel Pagan,2567
Orlando Palmeiro,2481
Jonathan Papelbon,2812
Chan Ho Park,2830
Chad Paronto,2932
John Parrish,2476
John Patterson,2461
Corey Patterson,2460
Josh Paul,2610
Ronny Paulino,2456
Carl Pavano,2470
Jay Payton,2563
Jake Peavy,2493
Dustin Pedroia,2958
Mike Pelfrey,2959
Carlos Pena,2571
Wily Mo Pena,2570
Tony Pena,2569
Brayan Pena,2568
Brad Penny,2576
Joel Peralta,2582
Jhonny Peralta,2581
Neifi Perez,2593
Odalis Perez,2594
Oliver Perez,2595
Juan Perez,2960
Rafael Perez,2961
Glen Perkins,2922
Yusmeiro Petit,2957
Andy Pettitte,2575
Josh Phelps,2814
Jason Phillips,2514
Brandon Phillips,2515
Mike Piazza,2491
Felix Pie,2810
Juan Pierre,2496
A.J. Pierzynski,2492
Joel Pineiro,2503
Renyel Pinto,2941
Scott Podsednik,2612
Placido Polanco,2614
Sidney Ponson,2619
Jorge Posada,2611
Martin Prado,2815
Scott Proctor,2556
Albert Pujols,2529
Nick Punto,2489
J.J. Putz,2528
Chad Qualls,2196
Carlos Quentin,2859
Robb Quinlan,2193
Omar Quintanilla,2190
Humberto Quintero,2191
Josh Rabe,3002
Mike Rabelo,2990
Manny Ramirez,2705
Aramis Ramirez,2703
Horacio Ramirez,2702
Elizardo Ramirez,2704
Ramon Ramirez,2991
Hanley Ramirez,2706
Darrell Rasner,2989
Jon Rauch,2700
Chris Ray,2734
Mark Redman,2739
Mike Redmond,2742
Eric Reed,2716
Chris Reitsma,2715
Edgar Renteria,2745
Jason Repko,2743
Al Reyes,2735
Jose Reyes,2737
Anthony Reyes,2736
John Rheinecker,3001
Arthur Rhodes,2753
Shawn Riggans,2993
Juan Rincon,2727
Royce Ring,2726
Alex Rios,2719
David Riske,2720
Mariano Rivera,2723
Saul Rivera,2996
Juan Rivera,2722
Sendy Rleal,2997
Dave Roberts,2768
Brian Roberts,2767
Nate Robertson,2769
Oscar Robles,2771
Fernando Rodney,2762
Alex Rodriguez,2766
Ivan Rodriguez,2765
Francisco Rodriguez,2763
Wandy Rodriguez,2764
Kenny Rogers,2758
Brian Rogers,3008
Scott Rolen,2754
Jimmy Rollins,2776
J.C. Romero,2775
Francisco Rosario,2757
David Ross,2760
Cody Ross,2759
Mike Rouse,2699
Aaron Rowand,2756
Ryan Rowland–Smith,3007
Carlos Ruiz,2730
B.J. Ryan,2693
Brendan Ryan,2821
Jae–Kuk Ryu,2864
Kirk Saarloos,2269
C.C. Sabathia,2272
Olmedo Saenz,2271
Takashi Saito,2825
Juan Salas,2878
Brad Salmon,2879
Chris Sampson,2884
Duaner Sanchez,2276
Freddy Sanchez,2277
Anibal Sanchez,2880
Angel Sanchez,2881
Jonathan Sanchez,2882
Humberto Sanchez,2883
Reggie Sanders,2273
Johan Santana,2275
Ervin Santana,2274
Victor Santos,2278
Joe Saunders,2358
Curt Schilling,2324
Jason Schmidt,2307
Brian Schneider,2306
Scott Schoeneweis,2309
Chris Schroder,2891
Mike Schultz,2888
Skip Schumaker,2308
Luke Scott,2333
Marco Scutaro,2332
Rudy Seanez,2282
Bobby Seay,2800
Aaron Sele,2288
Jae Seo,2827
Richie Sexson,2351
Josh Sharpless,2886
Ryan Shealy,2287
Ben Sheets,2286
Gary Sheffield,2293
George Sherrill,2294
Scot Shields,2289
James Shields,2885
Kelly Shoppach,2823
Brian Shouse,2302
Carlos Silva,2325
Andrew Sisco,2297
Grady Sizemore,2270
Doug Slaten,2898
Terrmel Sledge,2350
Jason Smith,2804
Matt Smith,2896
Joe Smith,2897
John Smoltz,2349
Ian Snell,2343
Chris Snelling,2342
Kyle Snyder,2893
Chris Snyder,2305
Joakim Soria,2900
Alfonso Soriano,2361
Rafael Soriano,2360
Sammy Sosa,2356
Jorge Sosa,2355
Jeremy Sowers,2901
Justin Speier,2344
Ryan Speier,2345
Levale Speigner,2894
Scott Spiezio,2346
Ryan Spilborghs,2347
Russ Springer,2348
Matt Stairs,2339
Mike Stanton,2802
Adam Stern,2336
Shannon Stewart,2338
Chris Stewart,2803
Kelly Stinnett,2340
Brian Stokes,2892
Huston Street,2341
Tanyon Sturtze,2335
Jeff Suppan,2331
Ichiro Suzuki,2334
Mark Sweeney,2327
Mike Sweeney,2328
Ryan Sweeney,2890
Nick Swisher,2329
Jon Switzer,2330
So Taguchi,2367
Taylor Tankersley,2905
Jack Taschner,2368
Julian Tavarez,2370
Willy Taveras,2372
Mark Teahen,2386
Mark Teixeira,2395
Miguel Tejada,2399
Robinson Tejeda,2401
Marcus Thames,2393
Ryan Theriot,2353
Frank Thomas,2411
Jim Thome,2412
Great Thompson,3821
Brad Thompson,2423
Mike Thompson,2917
Kevin Thompson,2805
Scott Thorman,2354
Matt Thornton,2359
Mike Timlin,2388
Brett Tomko,2416
Yorvit Torrealba,2421
Salomon Torres,2413
Josh Towers,2373
Steve Trachsel,2417
Chad Tracy,2422
Matt Treanor,2418
Chin–hui Tsao,2383
Troy Tulowitzki,2916
Derrick Turnbow,2364
Scott Tyler,2911
Jason Tyner,2903
Dan Uggla,2795
B.J. Upton,2058
Juan Uribe,2115
Chase Utley,2057
Wilson Valdez,2813
Javier Valentin,2486
Jose Valentin,2485
Jose Valverde,2480
Rick Vanden Hurk,2836
Claudio Vargas,2478
Jason Vargas,2479
Jason Varitek,2477
Virgil Vasquez,2925
Javier Vazquez,2459
Jose Veras,2839
Justin Verlander,2449
Shane Victorino,2497
Jose Vidro,2502
Carlos Villanueva,2838
Oscar Villarreal,2494
Ron Villone,2507
Luis Vizcaino,2499
Omar Vizquel,2500
Billy Wagner,2781
Ryan Wagner,2782
Adam Wainwright,2100
Tim Wakefield,2101
Todd Walker,2109
Chien–Ming Wang,2785
Daryle Ward,2110
John Wasdin,2784
Jarrod Washburn,2783
David Weathers,2102
Jeff Weaver,2081
Jered Weaver,2837
Brandon Webb,2104
Rickie Weeks,2080
Todd Wellemeyer,2108
David Wells,2107
Kip Wells,2106
Vernon Wells,2105
Jayson Werth,2778
Jake Westbrook,2103
Dan Wheeler,2082
Rick White,2617
Rondell White,2618
Sean White,2965
Bob Wickman,2085
Ty Wigginton,2083
Brad Wilkerson,2092
Great Williams,3814
Woody Williams,2087
Dave Williams,2088
Jerome Williams,2086
Scott Williamson,2089
Josh Willingham,2091
Dontrelle Willis,2090
Reggie Willits,2794
Preston Wilson,2094
Vance Wilson,2098
Jack Wilson,2096
Craig Wilson,2095
Josh Wilson,2093
C.J. Wilson,2097
Randy Winn,2099
Matt Wise,2780
Jay Witasick,2084
Randy Wolf,2116
Great Wood,3826
Jason Wood,2840
Kerry Wood,2112
Mike Wood,2113
Jake Woods,2111
Chris Woodward,2114
Jamey Wright,2696
Jaret Wright,2697
David Wright,2695
Chase Wright,2988
Michael Wuertz,2779
Tyler Yates,2987
Kevin Youkilis,2692
Dmitri Young,2691
Michael Young,2690
Great Young,3831
Delmon Young,2688
Chris Young,2689
Victor Zambrano,2280
Carlos Zambrano,2279
Gregg Zaun,2357
Ryan Zimmerman,2299
Barry Zito,2298
Ben Zobrist,2899
Joel Zumaya,2895
